Quarantine_ID,Table,Record_ID,Reason,Raw_Record_JSON
Q-0011,projects_raw,PRJ3-01396,Snapshot_Data_Completeness_Pct outside 0-1,"{""Actual_Percent_Complete"": ""0.4542"", ""CPI_Snapshot"": ""0.8854"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0563"", ""Delivery_Method"": ""CMAR"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""0.8105"", ""Original_Budget"": ""139999200"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""933"", ""Planned_Percent_Complete"": ""0.535"", ""Procurement_Delay_Days_to_Date"": ""20"", ""Project_ID"": ""PRJ3-01396"", ""Project_Name"": ""Cedar Process Plant 1396"", ""Project_Type"": ""Industrial"", ""Region"": ""West"", ""SPI_Snapshot"": ""0.8887"", ""Safety_Incident_Rate_to_Date"": ""0.758"", ""Schedule_Variance_Days_Snapshot"": ""75"", ""Snapshot_Data_Completeness_Pct"": ""-0.9515"", ""Snapshot_Date"": ""2023-12-22"", ""Snapshot_Year"": ""2023"", ""Start_Date"": ""2022-08-10"", ""State"": ""CA"", ""Weather_Impact_Days_to_Date"": ""0""}"
Q-0012,projects_raw,PRJ3-01449,Snapshot_Data_Completeness_Pct outside 0-1,"{""Actual_Percent_Complete"": ""0.3713"", ""CPI_Snapshot"": ""0.8782"", ""Client_Type"": ""Public-Private Partnership"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Unit Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0609"", ""Delivery_Method"": ""CMAR"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""0.8951"", ""Original_Budget"": ""25613900"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""731"", ""Planned_Percent_Complete"": ""0.428"", ""Procurement_Delay_Days_to_Date"": ""35"", ""Project_ID"": ""PRJ3-01449"", ""Project_Name"": ""Harbor Residences 1449"", ""Project_Type"": ""Residential"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""0.8828"", ""Safety_Incident_Rate_to_Date"": ""1.229"", ""Schedule_Variance_Days_Snapshot"": ""41"", ""Snapshot_Data_Completeness_Pct"": ""-0.9345"", ""Snapshot_Date"": ""2022-12-18"", ""Snapshot_Year"": ""2022"", ""Start_Date"": ""2022-02-09"", ""State"": ""GA"", ""Weather_Impact_Days_to_Date"": ""29""}"
Q-0013,projects_raw,PRJ3-01597,Snapshot_Date before Start_Date,"{""Actual_Percent_Complete"": ""0.4959"", ""CPI_Snapshot"": ""1.0265"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Low"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""-0.0079"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""1.0616"", ""Original_Budget"": ""23417500"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""509"", ""Planned_Percent_Complete"": ""0.54"", ""Procurement_Delay_Days_to_Date"": ""14"", ""Project_ID"": ""PRJ3-01597"", ""Project_Name"": ""Pioneer Residences 1597"", ""Project_Type"": ""Residential"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""0.9747"", ""Safety_Incident_Rate_to_Date"": ""0.562"", ""Schedule_Variance_Days_Snapshot"": ""22"", ""Snapshot_Data_Completeness_Pct"": ""0.9613"", ""Snapshot_Date"": ""2024-07-12"", ""Snapshot_Year"": ""2025"", ""Start_Date"": ""2025-04-12"", ""State"": ""VA"", ""Weather_Impact_Days_to_Date"": ""15""}"
Q-0014,projects_raw,PRJ3-01703,Missing critical field Labor_Productivity_Index,"{""Actual_Percent_Complete"": ""0.4298"", ""CPI_Snapshot"": ""0.9864"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Lump Sum"", ""Cost_Variance_Pct_Snapshot"": ""0.049"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": """", ""Original_Budget"": ""231360800"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""1033"", ""Planned_Percent_Complete"": ""0.462"", ""Procurement_Delay_Days_to_Date"": ""29"", ""Project_ID"": ""PRJ3-01703"", ""Project_Name"": ""Cedar Highway Improvements 1703"", ""Project_Type"": ""Heavy Civil"", ""Region"": ""West"", ""SPI_Snapshot"": ""0.8973"", ""Safety_Incident_Rate_to_Date"": ""1.068"", ""Schedule_Variance_Days_Snapshot"": ""33"", ""Snapshot_Data_Completeness_Pct"": ""0.9425"", ""Snapshot_Date"": ""2019-01-25"", ""Snapshot_Year"": ""2019"", ""Start_Date"": ""2017-10-05"", ""State"": ""NV"", ""Weather_Impact_Days_to_Date"": ""7""}"
Q-0015,projects_raw,PRJ3-01803,Missing critical field CPI_Snapshot,"{""Actual_Percent_Complete"": ""0.5287"", ""CPI_Snapshot"": """", ""Client_Type"": ""Public"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""0.1061"", ""Delivery_Method"": ""Design-Build"", ""Digital_Coordination_Level"": ""High"", ""Labor_Productivity_Index"": ""0.8939"", ""Original_Budget"": ""127234100"", ""Owner_Decision_Profile"": ""Slow"", ""Planned_Duration_Days"": ""1050"", ""Planned_Percent_Complete"": ""0.505"", ""Procurement_Delay_Days_to_Date"": ""23"", ""Project_ID"": ""PRJ3-01803"", ""Project_Name"": ""Lakeview District 1803"", ""Project_Type"": ""Mixed-Use"", ""Region"": ""Midwest"", ""SPI_Snapshot"": ""1.0217"", ""Safety_Incident_Rate_to_Date"": ""0.852"", ""Schedule_Variance_Days_Snapshot"": ""-25"", ""Snapshot_Data_Completeness_Pct"": ""0.9572"", ""Snapshot_Date"": ""2025-05-15"", ""Snapshot_Year"": ""2025"", ""Start_Date"": ""2023-12-02"", ""State"": ""OH"", ""Weather_Impact_Days_to_Date"": ""22""}"
Q-0016,projects_raw,PRJ3-01850,Snapshot_Data_Completeness_Pct outside 0-1,"{""Actual_Percent_Complete"": ""0.4696"", ""CPI_Snapshot"": ""0.8986"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0552"", ""Delivery_Method"": ""IPD"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""0.9602"", ""Original_Budget"": ""32793100"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""361"", ""Planned_Percent_Complete"": ""0.447"", ""Procurement_Delay_Days_to_Date"": ""0"", ""Project_ID"": ""PRJ3-01850"", ""Project_Name"": ""Riverside Apartments 1850"", ""Project_Type"": ""Residential"", ""Region"": ""Mountain"", ""SPI_Snapshot"": ""1.0082"", ""Safety_Incident_Rate_to_Date"": ""0.662"", ""Schedule_Variance_Days_Snapshot"": ""-8"", ""Snapshot_Data_Completeness_Pct"": ""-0.9732"", ""Snapshot_Date"": ""2023-09-28"", ""Snapshot_Year"": ""2023"", ""Start_Date"": ""2023-04-20"", ""State"": ""WY"", ""Weather_Impact_Days_to_Date"": ""11""}"
Q-0017,projects_raw,PRJ3-01862,Missing critical field SPI_Snapshot,"{""Actual_Percent_Complete"": ""0.6418"", ""CPI_Snapshot"": ""0.9853"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Lump Sum"", ""Cost_Variance_Pct_Snapshot"": ""0.0072"", ""Delivery_Method"": ""Design-Build"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""0.9635"", ""Original_Budget"": ""39065000"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""717"", ""Planned_Percent_Complete"": ""0.557"", ""Procurement_Delay_Days_to_Date"": ""15"", ""Project_ID"": ""PRJ3-01862"", ""Project_Name"": ""Copper Apartments 1862"", ""Project_Type"": ""Residential"", ""Region"": ""Mountain"", ""SPI_Snapshot"": """", ""Safety_Incident_Rate_to_Date"": ""0.798"", ""Schedule_Variance_Days_Snapshot"": ""-61"", ""Snapshot_Data_Completeness_Pct"": ""0.965"", ""Snapshot_Date"": ""2022-04-23"", ""Snapshot_Year"": ""2022"", ""Start_Date"": ""2021-03-20"", ""State"": ""ID"", ""Weather_Impact_Days_to_Date"": ""25""}"
Q-0018,projects_raw,PRJ3-01974,Missing critical field Labor_Productivity_Index,"{""Actual_Percent_Complete"": ""0.4502"", ""CPI_Snapshot"": ""0.9648"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""High"", ""Contract_Type"": ""Unit Price"", ""Cost_Variance_Pct_Snapshot"": ""0.0152"", ""Delivery_Method"": ""CMAR"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": """", ""Original_Budget"": ""420534600"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""1201"", ""Planned_Percent_Complete"": ""0.527"", ""Procurement_Delay_Days_to_Date"": ""10"", ""Project_ID"": ""PRJ3-01974"", ""Project_Name"": ""Cedar Water Program 1974"", ""Project_Type"": ""Heavy Civil"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""0.8735"", ""Safety_Incident_Rate_to_Date"": ""0.748"", ""Schedule_Variance_Days_Snapshot"": ""92"", ""Snapshot_Data_Completeness_Pct"": ""0.9601"", ""Snapshot_Date"": ""2025-01-16"", ""Snapshot_Year"": ""2025"", ""Start_Date"": ""2023-04-25"", ""State"": ""FL"", ""Weather_Impact_Days_to_Date"": ""24""}"
Q-0019,projects_raw,PRJ3-02078,Snapshot_Data_Completeness_Pct outside 0-1,"{""Actual_Percent_Complete"": ""0.3784"", ""CPI_Snapshot"": ""0.9365"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Very High"", ""Contract_Type"": ""Lump Sum"", ""Cost_Variance_Pct_Snapshot"": ""0.019"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""High"", ""Labor_Productivity_Index"": ""1.0023"", ""Original_Budget"": ""87797500"", ""Owner_Decision_Profile"": ""Fast"", ""Planned_Duration_Days"": ""1153"", ""Planned_Percent_Complete"": ""0.405"", ""Procurement_Delay_Days_to_Date"": ""0"", ""Project_ID"": ""PRJ3-02078"", ""Project_Name"": ""Cedar Transit-Oriented Development 2078"", ""Project_Type"": ""Mixed-Use"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""0.9499"", ""Safety_Incident_Rate_to_Date"": ""0.714"", ""Schedule_Variance_Days_Snapshot"": ""31"", ""Snapshot_Data_Completeness_Pct"": ""-0.9772"", ""Snapshot_Date"": ""2019-07-23"", ""Snapshot_Year"": ""2019"", ""Start_Date"": ""2018-04-13"", ""State"": ""GA"", ""Weather_Impact_Days_to_Date"": ""9""}"
Q-0020,projects_raw,PRJ3-02158,Snapshot_Date before Start_Date,"{""Actual_Percent_Complete"": ""0.4263"", ""CPI_Snapshot"": ""0.9459"", ""Client_Type"": ""Public"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Cost Plus"", ""Cost_Variance_Pct_Snapshot"": ""0.0156"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""Moderate"", ""Labor_Productivity_Index"": ""0.9937"", ""Original_Budget"": ""133337700"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""488"", ""Planned_Percent_Complete"": ""0.479"", ""Procurement_Delay_Days_to_Date"": ""8"", ""Project_ID"": ""PRJ3-02158"", ""Project_Name"": ""Copper Corporate Center 2158"", ""Project_Type"": ""Commercial"", ""Region"": ""West"", ""SPI_Snapshot"": ""0.9372"", ""Safety_Incident_Rate_to_Date"": ""0.649"", ""Schedule_Variance_Days_Snapshot"": ""26"", ""Snapshot_Data_Completeness_Pct"": ""0.9674"", ""Snapshot_Date"": ""2021-04-23"", ""Snapshot_Year"": ""2021"", ""Start_Date"": ""2021-12-12"", ""State"": ""OR"", ""Weather_Impact_Days_to_Date"": ""10""}"
Q-0021,projects_raw,PRJ3-02166,Missing critical field Labor_Productivity_Index,"{""Actual_Percent_Complete"": ""0.5758"", ""CPI_Snapshot"": ""0.8409"", ""Client_Type"": ""Private"", ""Complexity_Level"": ""High"", ""Contract_Type"": ""Guaranteed Maximum Price"", ""Cost_Variance_Pct_Snapshot"": ""0.1071"", ""Delivery_Method"": ""Design-Bid-Build"", ""Digital_Coordination_Level"": ""High"", ""Labor_Productivity_Index"": """", ""Original_Budget"": ""116623100"", ""Owner_Decision_Profile"": ""Standard"", ""Planned_Duration_Days"": ""806"", ""Planned_Percent_Complete"": ""0.583"", ""Procurement_Delay_Days_to_Date"": ""27"", ""Project_ID"": ""PRJ3-02166"", ""Project_Name"": ""Liberty Civic Complex 2166"", ""Project_Type"": ""Institutional"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""0.9665"", ""Safety_Incident_Rate_to_Date"": ""1.014"", ""Schedule_Variance_Days_Snapshot"": ""6"", ""Snapshot_Data_Completeness_Pct"": ""0.9597"", ""Snapshot_Date"": ""2021-04-28"", ""Snapshot_Year"": ""2021"", ""Start_Date"": ""2020-01-15"", ""State"": ""TN"", ""Weather_Impact_Days_to_Date"": ""13""}"
Q-0022,projects_raw,PRJ3-02255,Missing critical field CPI_Snapshot,"{""Actual_Percent_Complete"": ""0.6067"", ""CPI_Snapshot"": """", ""Client_Type"": ""Private"", ""Complexity_Level"": ""Moderate"", ""Contract_Type"": ""Unit Price"", ""Cost_Variance_Pct_Snapshot"": ""-0.0193"", ""Delivery_Method"": ""Design-Build"", ""Digital_Coordination_Level"": ""Low"", ""Labor_Productivity_Index"": ""1.0021"", ""Original_Budget"": ""29055400"", ""Owner_Decision_Profile"": ""Fast"", ""Planned_Duration_Days"": ""648"", ""Planned_Percent_Complete"": ""0.577"", ""Procurement_Delay_Days_to_Date"": ""10"", ""Project_ID"": ""PRJ3-02255"", ""Project_Name"": ""Pioneer Marketplace 2255"", ""Project_Type"": ""Commercial"", ""Region"": ""Southeast"", ""SPI_Snapshot"": ""1.0062"", ""Safety_Incident_Rate_to_Date"": ""0.694"", ""Schedule_Variance_Days_Snapshot"": ""-19"", ""Snapshot_Data_Completeness_Pct"": ""0.9786"", ""Snapshot_Date"": ""2021-12-09"", ""Snapshot_Year"": ""2021"", ""Start_Date"": ""2020-12-01"", ""State"": ""TN"", ""Weather_Impact_Days_to_Date"": ""10""}"
