Project_ID,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot
PRJ3-00020,59,6.252,11.789,0.08,0.3742,0.1154,0.1172,0.0311,0.0542,0.0094,0.0244,25.161,0.3883,11.426,0.3171,0.2232,0.3576,5
PRJ3-00021,54,4.517,4.699,0.3874,0.1947,0.0639,0.0899,0.0175,0.2734,0.0214,0.0304,20.731,0.2694,6.519,0.3234,0.2872,0.3648,3
PRJ3-00022,13,4.898,12.663,0.0913,0.5698,0.1285,0.1534,0.0414,0.247,0.0392,0.019,26.135,0.4249,2.669,0.4274,0.1829,0.3587,4
PRJ3-00023,100,4.757,5.513,0.369,0.2501,0.067,0.1626,0.066,0.1658,0.0494,0.0287,17.906,0.1741,0.39,0.3555,0.1906,0.1771,2
PRJ3-00024,20,3.338,7.019,0.4519,0.269,0.0404,0.0996,0.0605,0.02,0,0.0201,24.998,0.2872,1.952,0.2054,0.1688,0.2833,2
PRJ3-00025,68,5.966,9.943,0.1762,0.3809,0.0645,0.0991,0.0315,0.2548,0.0435,0.019,15.262,0.3269,1.892,0.2854,0.1948,0.3438,3
PRJ3-00026,29,3.229,9.215,0.3038,0.3744,0.0978,0.0699,0.031,0.0809,0.0129,0.0009,26.654,0.3932,6.801,0.135,0.212,0.2488,3
PRJ3-00027,100,6.122,14.769,0.08,0.4376,0.0794,0.1892,0.0456,0.2017,0.0358,0.0551,29.534,0.3635,5.445,0.3488,0.2879,0.3477,6
PRJ3-00028,34,7.835,9.681,0.1824,0.3163,0.0727,0.1117,0.0397,0.232,0.0308,0.0195,14.103,0.1176,2.942,0.1736,0.1224,0.3989,2
PRJ3-00029,103,5.533,8.95,0.2263,0.3893,0.0886,0.0872,0.0278,0.2457,0.0554,0.0396,26.003,0.3186,6.378,0.4859,0.179,0.2933,4
PRJ3-00030,58,6.268,8.631,0.3433,0.4184,0.1004,0.2428,0.0464,0.1257,0.0149,0.0059,30.172,0.2649,7.212,0.2524,0.3349,0.2896,4
PRJ3-00031,53,6.288,11.189,0.08,0.4234,0.1025,0.1413,0.0621,0.2239,0.0622,0,24.318,0.3518,2.5,0.3957,0.2792,0.4109,3
PRJ3-00032,240,4.136,4.477,0.4052,0.1187,0.0596,0.135,0.0657,0.355,0.0636,0.0387,28.011,0.2988,7.396,0.4899,0.3079,0.2928,4
PRJ3-00033,23,4.296,5.035,0.3801,0.1933,0.0239,0.0189,0.0001,0.0475,0.0184,0.0096,21.774,0.3539,2.869,0.3611,0.2018,0.3613,2
PRJ3-00034,106,8.22,14.914,0.08,0.595,0.1517,0.2155,0.0654,0.2764,0.0454,0.0628,35.6,0.4854,10.258,0.5282,0.3532,0.3101,8
PRJ3-00035,31,9.944,9.978,0.1599,0.3597,0.1197,0.0674,0.034,0.2841,0.0367,0.0156,20.37,0.2855,6.59,0.309,0.1578,0.3765,3
PRJ3-00036,28,3.546,10.202,0.2833,0.3618,0.0877,0.065,0.026,0.0588,0.0229,0.0092,18.989,0.2543,2.303,0.2506,0.1721,0.4082,2
PRJ3-00037,8,2.576,7.203,0.3594,0.3349,0.118,0.0485,0.0121,0.0998,0.0395,0,22.529,0.261,0,0.3574,0.1606,0.3069,1
PRJ3-00038,47,3.265,4.592,0.5352,0.1759,0.0427,0.1192,0.0607,0.0532,0.041,0,13.121,0.1624,4.411,0.175,0.1687,0.1683,1
PRJ3-00039,80,6.137,10.955,0.1921,0.3719,0.1014,0.0937,0.0492,0.2888,0.0547,0.0464,25.947,0.271,4.36,0.4017,0.2238,0.3635,5
PRJ3-00040,193,5.046,8.468,0.2317,0.3138,0.1033,0.0709,0.0056,0.0362,0.029,0.0347,33.058,0.496,10.216,0.4662,0.2207,0.4041,5
PRJ3-00041,32,3.133,5.944,0.4686,0.2758,0.0583,0.0118,0.0224,0.0482,0,0.0075,5,0.0523,2.838,0.1194,0.0002,0.3452,1
PRJ3-00042,64,5.229,6.011,0.4321,0.2258,0.0521,0.0813,0.0075,0.0539,0.0375,0.0414,15.74,0.3695,9.826,0.1458,0.136,0.3097,4
PRJ3-00043,22,6.697,2,0.6488,0.1384,0.0806,0.0853,0.0707,0.0997,0.0094,0,9.21,0.2057,0.546,0.2476,0.1053,0.3126,1
PRJ3-00044,28,5.592,7.107,0.2686,0.2531,0.1013,0.1448,0.0675,0.1098,0.0452,0.0196,15.291,0.3406,5.451,0.219,0.2104,0.2516,2
PRJ3-00045,23,4.982,2.332,0.4975,0.0879,0.0176,0.1535,0.0591,0.0732,0.0118,0.0019,18.666,0.1996,1.802,0.0981,0.2081,0.2936,1
PRJ3-00046,85,4.534,2,0.6265,0.084,0.0444,0.0929,0.0237,0.1152,0.0172,0.0041,14.825,0.2014,0,0.234,0.1717,0.2714,1
PRJ3-00047,65,4.85,4.712,0.6382,0.1625,0.0287,0.1053,0.021,0.1209,0.0242,0.0059,20.339,0.2465,0,0.2858,0.2361,0.2664,1
PRJ3-00048,44,4.876,7.017,0.3505,0.2844,0.0489,0.1201,0.051,0.1795,0.0433,0,5,0.1334,11.388,0.197,0.0883,0.4739,2
PRJ3-00049,6,3.562,6.619,0.4111,0.3133,0.0758,0.0706,0.0399,0.0753,0.0472,0.0137,21.907,0.2218,1.872,0.1798,0.2385,0.3406,2
PRJ3-00050,91,5.28,9.0,0.2366,0.3584,0.0969,0.1414,0.0612,0.078,0.0223,0.0304,13.245,0.0939,3.698,0.4255,0.1224,0.2806,3
PRJ3-00051,56,5.215,7.875,0.2333,0.3013,0.0509,0.105,0.056,0.1487,0.0113,0.0332,21.457,0.3846,7.725,0.2251,0.152,0.1587,3
PRJ3-00052,22,5.288,12.439,0.08,0.482,0.0912,0.178,0.0786,0.3128,0.0237,0.0323,19.24,0.1807,1.382,0.2391,0.1943,0.349,4
PRJ3-00053,193,4.89,7.953,0.4286,0.3366,0.0633,0.0535,0.0601,0.1163,0,0.0079,34.028,0.3094,5.475,0.1491,0.2561,0.3091,3
PRJ3-00054,52,5.089,2.8,0.5378,0.1192,0.0466,0.0097,0,0.1407,0.0316,0,14.012,0.2369,4.881,0.2615,0.1513,0.2646,1
PRJ3-00055,48,6.562,13.082,0.0825,0.5519,0.1208,0.1392,0.0371,0.2189,0.0307,0.0251,34.886,0.4054,8.625,0.5002,0.3002,0.4042,6
PRJ3-00056,99,4.291,7.681,0.4738,0.2251,0.0873,0.0879,0.0754,0.0869,0.027,0,11.151,0.1635,0.276,0.3198,0.1133,0.3397,1
PRJ3-00057,64,3.835,10.657,0.2133,0.4301,0.0824,0.0315,0.0341,0.0328,0.0363,0.0072,16.93,0.1855,0,0.1847,0.1845,0.2803,2
PRJ3-00058,33,4.218,4.532,0.5626,0.1198,0.0841,0.0854,0.0319,0.1215,0.0208,0,21.366,0.3358,2.979,0.1915,0.1473,0.3987,1
PRJ3-00059,112,5.646,9.074,0.1455,0.3267,0.0921,0.1261,0.0872,0.2298,0.0837,0.0167,21.966,0.2308,5.454,0.2438,0.2766,0.3392,3
PRJ3-00060,50,4.787,7.948,0.2873,0.321,0.0779,0,0.0233,0.0617,0,0.0105,32.846,0.3902,0.633,0.1542,0.2859,0.3083,3
PRJ3-00061,142,5.331,5.407,0.334,0.2543,0.1039,0.1424,0.0375,0.2237,0.0452,0.03,22.716,0.2986,6.311,0.3619,0.2461,0.2717,3
PRJ3-00062,64,5.42,5.011,0.5158,0.2783,0.1361,0.1038,0.0343,0.305,0.0466,0.026,20.174,0.2577,2.419,0.2134,0.1806,0.3889,3
PRJ3-00063,240,4.356,8.36,0.3798,0.3298,0.0513,0.1293,0.048,0.1761,0.0423,0.0321,15.859,0.1757,5.766,0.2539,0.2578,0.3527,3
PRJ3-00064,71,6.357,13.692,0.08,0.39,0.1263,0.3188,0.102,0.2934,0.0605,0.0334,29.595,0.3482,3.23,0.5033,0.359,0.2319,5
PRJ3-00065,21,2.822,7.423,0.502,0.2504,0.0706,0.1165,0.0331,0.1179,0.054,0.0359,12.668,0.2247,4.453,0.4683,0.1768,0.1435,3
PRJ3-00066,157,5.999,11.344,0.08,0.4614,0.1068,0.1502,0.0519,0.152,0.0466,0.028,30.72,0.374,9.594,0.3869,0.2777,0.321,5
PRJ3-00067,89,4.17,6.913,0.32,0.2859,0.0965,0,0,0.0749,0.0123,0.0058,6.536,0.1062,3.376,0.1617,0.0982,0.331,2
PRJ3-00068,74,4.148,5.853,0.3615,0.3203,0.0613,0.2076,0.049,0.0621,0.0018,0.0301,16.903,0.248,2.533,0.0697,0.2561,0.3427,3
PRJ3-00069,24,5.978,8.658,0.2326,0.3355,0.0951,0.2692,0.0475,0.1581,0.0373,0.0223,24.081,0.3067,5.581,0.3055,0.2859,0.4517,3
PRJ3-00070,87,6.372,12.406,0.08,0.4444,0.0876,0.1516,0.0671,0.2406,0.0398,0.0227,23.4,0.3462,3.985,0.3259,0.3149,0.3471,4
PRJ3-00071,51,4.549,9.613,0.212,0.2973,0.0545,0.1389,0.0379,0.2769,0.0501,0.005,14.364,0.2724,4.95,0.289,0.165,0.3712,2
PRJ3-00072,82,5.041,7.372,0.294,0.1207,0.0573,0.2211,0.0519,0.1969,0.049,0.0368,15.117,0.1891,5.319,0.2654,0.2759,0.3335,3
PRJ3-00073,143,6.282,8.857,0.5204,0.4585,0.1164,0.1182,0.0034,0.3387,0.0514,0.0179,13.868,0.1708,3.086,0.3468,0.1617,0.4239,3
PRJ3-00074,126,6.354,6.651,0.358,0.3251,0.113,0.1803,0.0211,0.2602,0.0404,0.0318,28.962,0.2607,8.149,0.3815,0.3259,0.4771,4
PRJ3-00075,19,2.843,9.059,0.1448,0.4175,0.1098,0.0118,0.0085,0.0972,0.0242,0.0274,10.765,0.1144,3.592,0.2136,0.0864,0.336,3
PRJ3-00076,12,3.585,8.238,0.3853,0.3424,0.0953,0.0975,0.0183,0.0556,0.0411,0.0126,15.624,0.2169,0.111,0.2474,0.1345,0.1737,2
PRJ3-00077,17,3.949,3.879,0.4679,0.1632,0.0661,0.0818,0.0217,0.1067,0.0346,0.0117,18.548,0.2527,3.706,0.3357,0.1905,0.3321,2
PRJ3-00078,29,4.598,5.652,0.4895,0.2738,0.0537,0.0338,0.0103,0.0405,0.0507,0.0144,30.307,0.4711,4.96,0.0687,0.1811,0.2183,3
PRJ3-00079,80,4.532,7.772,0.3775,0.3538,0.0566,0.0369,0.0482,0.107,0.0197,0.037,28.056,0.3489,0.864,0.3327,0.1915,0.3574,3
PRJ3-00080,53,4.837,8.77,0.2823,0.3955,0.0605,0.1143,0.0742,0.0676,0.0252,0.0455,9.695,0.2122,4.458,0.4365,0.1314,0.4436,4
PRJ3-00081,59,4.702,7.727,0.435,0.2318,0.0602,0.119,0.0672,0.0349,0.0131,0.013,8.049,0.1724,4.636,0.4308,0.1271,0.4049,2
PRJ3-00082,83,4.674,5.745,0.5152,0.2425,0.079,0.1024,0,0.0487,0.0575,0.0112,15.846,0.1393,0.7,0.2089,0.1842,0.2957,1
PRJ3-00083,116,5.405,8.989,0.2432,0.3232,0.0591,0.1468,0.0725,0.1366,0,0.0087,12.38,0.2148,1.883,0.2489,0.1562,0.3629,2
PRJ3-00084,48,4.985,11.789,0.08,0.4712,0.0771,0.1317,0.0342,0.0569,0.0725,0.0159,18.082,0.4044,7.858,0.2993,0.1216,0.2738,4
PRJ3-00085,44,4.924,8.711,0.2832,0.2219,0.0908,0.1271,0.0616,0.0653,0,0.0289,21.114,0.1798,6.62,0.0504,0.248,0.2637,3
PRJ3-00086,87,4.133,8.416,0.2102,0.2455,0.0778,0.0677,0.0407,0.1144,0.0285,0,20.851,0.206,0.868,0.266,0.2604,0.2863,1
PRJ3-00087,46,3.612,6.211,0.2622,0.2393,0.0664,0.0704,0.0694,0.2023,0.0103,0.0063,23.329,0.2595,5.878,0.3245,0.2339,0.3051,2
PRJ3-00088,73,6.517,15.538,0.08,0.5584,0.1477,0.2066,0.0354,0.2813,0.0424,0.0456,27.479,0.2873,3.969,0.3766,0.3039,0.3676,6
PRJ3-00089,10,2.067,4.995,0.4357,0.155,0.0544,0.0745,0.0214,0.1982,0,0.0246,5,0.0821,2.658,0.2192,0.0617,0.2837,2
PRJ3-00090,160,4.764,4.519,0.481,0.1727,0.051,0.137,0.0334,0.1367,0.0568,0.0247,15.603,0.2869,2.072,0.2153,0.2248,0.3257,2
PRJ3-00091,37,6.133,7.631,0.3745,0.3689,0.0615,0.132,0.0222,0.1499,0.0183,0.0292,25.599,0.3699,4.722,0.29,0.2712,0.4026,4
PRJ3-00092,57,5.093,9.868,0.2102,0.3873,0.0776,0.061,0.0392,0.1864,0.0618,0,32.781,0.3788,6.501,0.3362,0.1833,0.3977,3
PRJ3-00093,24,5.373,14.224,0.08,0.4674,0.1358,0.17,0.064,0.2988,0.0534,0.0311,26.674,0.277,4.143,0.3288,0.2801,0.4764,5
PRJ3-00094,128,6.5,13.736,0.08,0.5244,0.1453,0.1875,0.0541,0.1485,0.0646,0.0311,34.197,0.4283,11.66,0.4686,0.3047,0.5311,7
PRJ3-00095,71,7.75,12.39,0.161,0.3297,0.0866,0.1526,0.0713,0.2915,0.0339,0.0593,26.896,0.3223,1.298,0.2892,0.2205,0.3576,5
PRJ3-00096,64,4.437,10.155,0.2535,0.3904,0.1039,0.0984,0.0268,0.1897,0.0504,0.0462,9.092,0.1352,7.483,0.4352,0.1638,0.3828,4
PRJ3-00097,57,3.756,6.573,0.2251,0.1473,0.0561,0.0405,0.0063,0.02,0.0214,0.0009,12.258,0.1992,5.793,0.2554,0.1546,0.3276,1
PRJ3-00098,57,4.824,5.749,0.5025,0.197,0.0716,0.1655,0.0561,0.2492,0.0781,0.0379,10.062,0.2232,8.724,0.4492,0.1642,0.3974,3
PRJ3-00099,57,4.594,9.46,0.3083,0.2692,0.0533,0.1185,0.0295,0.1175,0.0171,0,10.167,0.2052,0.715,0.064,0.1747,0.3346,1
PRJ3-00100,240,3.032,7.023,0.3594,0.1964,0.0769,0.1753,0.0213,0.2503,0.0226,0.04,21.103,0.28,2.146,0.2338,0.2762,0.4292,3
PRJ3-00101,48,4.815,4.662,0.5661,0.1311,0.065,0.1078,0.0377,0.0665,0.0366,0,18.003,0.2288,4.393,0.2042,0.1608,0.2701,1
PRJ3-00102,72,5.154,8.778,0.327,0.2694,0.0764,0.0009,0.0014,0.1287,0.0546,0,20.866,0.1926,3.68,0.4115,0.0883,0.3481,2
PRJ3-00103,123,4.152,10.819,0.2386,0.393,0.0876,0.1228,0.0398,0.1524,0.0068,0.0104,22.634,0.2298,4.12,0.1833,0.1971,0.2206,3
PRJ3-00104,30,4.758,6.392,0.4264,0.2783,0.0723,0.086,0.0558,0.1171,0.0521,0.0166,6.265,0.1038,5.712,0.3386,0.1225,0.2324,2
PRJ3-00105,67,4.593,13.336,0.08,0.4228,0.0545,0.0444,0.0372,0.147,0.0453,0.0408,27.572,0.3923,9.832,0.2426,0.2521,0.2129,6
PRJ3-00106,124,6.521,13.628,0.08,0.3484,0.068,0.184,0.0935,0.2744,0.0344,0.031,27.182,0.4904,7.79,0.3856,0.265,0.3624,5
PRJ3-00107,33,8.721,15.61,0.08,0.6352,0.1347,0.2494,0.0434,0.1568,0.0374,0.0151,20.828,0.3506,1.175,0.2836,0.2281,0.3188,4
PRJ3-00108,15,2.373,8.428,0.3038,0.3332,0.0636,0.172,0.0452,0.2077,0.0473,0,20.64,0.2219,3.083,0.2679,0.2737,0.4017,2
PRJ3-00109,113,4.793,11.127,0.1489,0.2661,0.0844,0.1948,0.064,0.238,0.0452,0.0327,23.595,0.2214,6.78,0.1559,0.3248,0.4025,4
PRJ3-00110,130,5.026,9.47,0.1923,0.2679,0.0536,0.1379,0.0313,0.151,0.0334,0.0137,15.162,0.3198,0.814,0.2699,0.1673,0.3637,2
PRJ3-00111,75,5.484,8.132,0.255,0.2189,0.0274,0.0314,0.0036,0.0667,0.009,0.0368,30.052,0.3201,3.146,0.2901,0.2468,0.3735,4
PRJ3-00112,9,2.023,6.274,0.3409,0.2339,0.0565,0.0739,0.0353,0.02,0.0324,0,27.526,0.279,1.454,0.2696,0.2511,0.258,2
PRJ3-00113,105,5.225,3.959,0.4022,0.2061,0.0527,0.1413,0.0649,0.2405,0.0337,0.01,19.261,0.2369,3.761,0.1375,0.2286,0.1226,2
PRJ3-00114,102,7.547,11.875,0.2052,0.4563,0.1295,0.17,0.084,0.3401,0.0556,0.026,24.633,0.3334,5.766,0.3577,0.2941,0.415,5
PRJ3-00115,58,5.41,14.063,0.08,0.474,0.1057,0.0302,0.0171,0.2376,0.0313,0.0427,21.633,0.4194,1.403,0.3502,0.2043,0.4581,5
PRJ3-00116,66,5.29,7.314,0.1762,0.275,0.0829,0.1328,0.0221,0.2968,0.0706,0.0254,22.512,0.2429,2.175,0.3042,0.2112,0.3404,3
PRJ3-00117,64,5.294,11.367,0.1093,0.3596,0.088,0.12,0.032,0.136,0.067,0.036,34.098,0.328,4.721,0.4729,0.2408,0.3891,5
PRJ3-00118,91,5.386,6.617,0.3359,0.2374,0.0378,0.163,0.0417,0.2664,0.0498,0.0186,14.294,0.2096,4.174,0.3197,0.0986,0.2583,2
PRJ3-00119,103,4.939,7.053,0.2231,0.2499,0.0659,0.1913,0.0788,0.1962,0.0654,0.0142,9.573,0.2143,0,0.4116,0.2163,0.2487,2
PRJ3-00120,36,6.828,5.958,0.3645,0.1935,0.0677,0.2074,0.0177,0.3002,0,0.0236,24.517,0.2584,5.568,0.365,0.2442,0.4428,3
PRJ3-00121,57,4.984,10.916,0.2725,0.4489,0.1094,0.1681,0.0448,0.0838,0.0099,0.0305,34.999,0.4114,4.711,0.2857,0.3638,0.3066,5
PRJ3-00122,137,4.818,8.299,0.4414,0.3511,0.0757,0.0846,0.042,0.1429,0.0457,0,5,0.1832,5.254,0.3087,0.0868,0.2331,2
PRJ3-00123,14,2.624,8.15,0.2319,0.2573,0.0862,0.0412,0.037,0.0995,0.0208,0.0172,20.965,0.2014,0.798,0.279,0.2172,0.3755,2
PRJ3-00124,33,4.448,5.574,0.513,0.2002,0.0492,0.1122,0.0377,0.1872,0.0304,0.007,11.956,0.1387,3.248,0.1991,0.0781,0.4056,1
PRJ3-00125,62,5.388,7.396,0.4893,0.1689,0.0544,0.0907,0.0709,0.102,0.0216,0.0274,14.534,0.174,8.823,0.2786,0.1854,0.4476,3
PRJ3-00126,17,5.834,10.017,0.2362,0.2857,0.1051,0.0604,0.0211,0.1741,0.0128,0.0028,13.713,0.1212,7.07,0.0621,0.1148,0.2886,2
PRJ3-00127,77,4.499,9.937,0.192,0.3465,0.1306,0.0838,0.0344,0.1888,0.0287,0,18.831,0.0947,0.347,0.2656,0.1704,0.3003,2
PRJ3-00128,34,5.442,10.092,0.1345,0.4607,0.0832,0.1848,0.0331,0.0577,0.0213,0.0153,25.309,0.3115,6.271,0.2002,0.2441,0.1337,4
PRJ3-00129,15,3.195,10.086,0.183,0.3854,0.0859,0.1391,0.0359,0.1566,0,0.0155,17.681,0.2414,4.873,0.1871,0.2532,0.3882,3
PRJ3-00130,82,6.924,8.534,0.2251,0.2764,0.0809,0.1458,0.0627,0.1687,0.063,0.0471,39.548,0.4772,1.504,0.4107,0.3519,0.4285,5
PRJ3-00131,83,5.62,6.139,0.5648,0.2713,0.0652,0.0869,0.0261,0.2404,0.0246,0.0572,21.578,0.17,7.397,0.2331,0.2142,0.2793,4
PRJ3-00132,48,4.533,6.175,0.4666,0.2778,0.0714,0.0856,0.032,0.0608,0.0461,0.0296,22.346,0.2243,6.529,0.3669,0.2153,0.3608,3
PRJ3-00133,74,4.092,6.013,0.4994,0.2018,0.0329,0.0051,0.0295,0.02,0.0128,0.0118,14.318,0.2727,0.998,0.2068,0.1235,0.3207,1
PRJ3-00135,43,6.44,6.35,0.4015,0.215,0.0644,0.0782,0.0448,0.2039,0.0422,0.0132,23.99,0.1976,5.543,0.247,0.1356,0.4317,2
PRJ3-00136,61,4.712,4.128,0.5078,0.1883,0.098,0.1489,0.0686,0.158,0.034,0,12.591,0.099,3.654,0.2119,0.2651,0.3958,1
PRJ3-00137,40,5.031,5.99,0.609,0.2801,0.0614,0.1387,0.0286,0.1094,0.0275,0.0396,28.932,0.3341,4.139,0.3103,0.2604,0.4061,4
PRJ3-00138,51,5.534,7.677,0.2672,0.3575,0.1264,0.1138,0.0269,0.3059,0.0677,0.0221,18.805,0.2201,6.773,0.5344,0.2047,0.4284,3
PRJ3-00139,25,3.931,8.794,0.3813,0.3862,0.0951,0.1002,0.0319,0.1504,0.0257,0.0054,25.399,0.305,2.556,0.2754,0.2363,0.1981,3
PRJ3-00140,153,6.784,12.315,0.119,0.441,0.1064,0.235,0.0611,0.2356,0.0455,0.0557,21.941,0.2055,5.551,0.4181,0.3309,0.3835,6
PRJ3-00141,16,4.586,13.767,0.08,0.4793,0.1449,0.1771,0.0705,0.2706,0.0274,0.0226,31.488,0.4134,4.517,0.3522,0.2724,0.4048,5
PRJ3-00142,84,5.11,5.209,0.4839,0.1365,0.0466,0.1488,0.0787,0.2049,0.0057,0.0015,17.922,0.2695,6.996,0.2114,0.2538,0.3077,2
PRJ3-00143,52,4.764,5.759,0.5773,0.2449,0.0329,0.0549,0.0109,0.1792,0.0315,0.001,10.348,0.0724,0,0.2499,0.1286,0.3976,1
PRJ3-00144,107,5.05,11.569,0.08,0.4948,0.1263,0.0237,0.0341,0.2345,0.0343,0.0194,35.606,0.4294,5.307,0.2183,0.2062,0.418,5
PRJ3-00145,28,5.25,10.34,0.2628,0.3218,0.0381,0.066,0.0657,0.02,0.0253,0.0014,21.271,0.1968,5.302,0.2071,0.2897,0.1381,3
PRJ3-00146,96,4.594,5.245,0.47,0.2912,0.076,0.0552,0.0532,0.0569,0.042,0.0242,28.269,0.3431,1.492,0.2303,0.1968,0.3391,3
PRJ3-00147,21,7.699,14.445,0.08,0.4827,0.1187,0.1342,0.0371,0.1411,0.0226,0.0299,18.685,0.29,3.158,0.2456,0.155,0.3186,4
PRJ3-00149,27,3.419,10.418,0.2642,0.2588,0.0918,0.0742,0.0438,0.1938,0.0258,0.0081,16.176,0.2881,6.371,0.1865,0.214,0.3109,3
PRJ3-00150,196,5.843,10.643,0.1259,0.4035,0.0911,0.2824,0.049,0.1832,0.013,0.013,37.025,0.3272,8.846,0.4982,0.3715,0.2487,5
PRJ3-00151,240,4.628,4.694,0.4353,0.2377,0.0503,0.1327,0.0377,0.113,0.0446,0.031,16.865,0.2291,1.282,0.3557,0.1353,0.3511,2
PRJ3-00152,8,1.688,6.57,0.4278,0.2275,0.0526,0.0529,0.0411,0.0611,0.0275,0.0217,21.2,0.2854,8.936,0.2056,0.1647,0.3429,3
PRJ3-00153,126,4.714,6.976,0.4197,0.3903,0.1074,0.1286,0.0606,0.2348,0.0238,0.009,19.993,0.2316,3.264,0.4022,0.2126,0.2713,2
PRJ3-00154,46,5.136,7.489,0.3817,0.3136,0.0762,0.178,0.0551,0.1376,0.0508,0.0483,26.361,0.3904,5.786,0.4836,0.3185,0.1942,4
PRJ3-00155,17,4.031,11.935,0.1111,0.4045,0.0932,0.1034,0.0341,0.163,0.0533,0.019,33.106,0.4178,0,0.3032,0.3294,0.3058,4
PRJ3-00156,128,6.249,8.469,0.2401,0.271,0.061,0.107,0.0196,0.1501,0.0224,0.0196,22.033,0.3286,2.182,0.2178,0.1997,0.5057,2
PRJ3-00157,160,5.609,8.614,0.27,0.2586,0.0796,0.0919,0.0382,0.1917,0.0204,0.0269,20.623,0.3356,7.113,0.3621,0.1872,0.2872,3
PRJ3-00158,4,3.351,7.058,0.3164,0.1611,0.0605,0,0.0096,0.0893,0,0.0078,14.827,0.1688,6.333,0.2012,0.0337,0.3348,2
