Project_ID,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Cost_Overrun_Flag,Schedule_Delay_Flag,Combined_Overrun_Flag,Final_CPI,Final_SPI,Final_Status,Actual_End_Date,Final_EAC
PRJ3-00096,0.1669,-4,1,0,1,0.857,1.0043,Complete,2024-12-25,168303800
PRJ3-00097,0.0753,-25,0,0,0,0.93,1.0219,Complete,2027-08-20,163205000
PRJ3-00098,0.0882,13,0,0,0,0.919,0.987,Complete,2025-07-14,128573600
PRJ3-00099,0.0405,-24,0,0,0,0.9611,1.0268,Complete,2021-07-01,129104200
PRJ3-00100,0.0679,8,0,0,0,0.9364,0.9911,Complete,2023-11-06,845316400
PRJ3-00101,-0.0067,-25,0,0,0,1.0067,1.0449,Complete,2024-04-02,99027500
PRJ3-00102,0.0597,-25,0,0,0,0.9436,1.0198,Complete,2025-05-24,148051800
PRJ3-00103,0.065,12,0,0,0,0.939,0.987,Complete,2025-04-01,315473200
PRJ3-00104,0.0373,23,0,0,0,0.964,0.9511,Complete,2020-06-23,65400400
PRJ3-00105,0.1225,20,1,0,1,0.8909,0.9688,Complete,2022-06-06,163737700
PRJ3-00106,0.1155,32,1,1,1,0.8964,0.9716,Complete,2025-12-03,212135700
PRJ3-00107,0.0884,48,0,1,1,0.9188,0.9257,Complete,2024-08-09,41182100
PRJ3-00108,0.0258,-16,0,0,0,0.9748,1.0216,Complete,2023-02-27,64855000
PRJ3-00109,0.0176,16,0,0,0,0.9827,0.984,Complete,2027-04-08,239933100
PRJ3-00110,0.0116,27,0,0,0,0.9885,0.9806,Complete,2025-12-24,261667600
PRJ3-00111,0.0712,0,0,0,0,0.9336,1.0,Complete,2022-01-01,146483200
PRJ3-00112,0.0935,-18,0,0,0,0.9145,1.0513,Complete,2026-02-04,48642700
PRJ3-00113,0.0344,-25,0,0,0,0.9668,1.0323,Complete,2022-02-03,207868600
PRJ3-00114,0.1583,52,1,1,1,0.8634,0.9333,Complete,2024-06-25,156539900
PRJ3-00115,0.1862,38,1,1,1,0.843,0.9594,Complete,2024-05-25,127175200
PRJ3-00116,0.0628,-11,0,0,0,0.9409,1.0104,Complete,2022-06-19,132601100
PRJ3-00117,0.1137,16,1,0,1,0.8979,0.9856,Complete,2026-09-20,134638200
PRJ3-00118,0.053,-17,0,0,0,0.9497,1.0186,Complete,2023-03-19,177899100
PRJ3-00119,0.1282,13,1,0,1,0.8864,0.9863,Complete,2026-12-24,235281200
PRJ3-00120,0.1234,5,1,0,1,0.8902,0.9914,Complete,2024-11-11,59231800
PRJ3-00121,0.174,48,1,1,1,0.8518,0.9536,Complete,2022-08-16,134262000
PRJ3-00122,0.0383,-21,0,0,0,0.9631,1.0205,Complete,2021-07-26,295242700
PRJ3-00123,0.088,-18,0,0,0,0.9192,1.0273,Complete,2023-08-10,58053200
PRJ3-00124,0.0319,-18,0,0,0,0.9691,1.0342,Complete,2026-02-27,76561900
PRJ3-00125,-0.0208,51,0,1,1,1.0213,0.922,Complete,2022-07-22,112671100
PRJ3-00126,-0.023,-18,0,0,0,1.0236,1.0438,Complete,2026-02-25,28467500
PRJ3-00127,0.055,-1,0,0,0,0.9479,1.0008,Complete,2022-01-22,180562900
PRJ3-00128,0.0229,11,0,0,0,0.9776,0.9838,Complete,2026-06-17,63900000
PRJ3-00129,-0.0087,48,0,1,1,1.0087,0.9352,Complete,2025-11-30,46535600
PRJ3-00130,0.1615,40,1,1,1,0.8609,0.9329,Complete,2021-07-14,137557800
PRJ3-00131,0.1116,-3,1,0,1,0.8996,1.0024,Complete,2023-12-22,164160800
PRJ3-00132,0.094,-10,0,0,0,0.9141,1.0099,Complete,2024-10-23,115838900
PRJ3-00133,0.0158,-9,0,0,0,0.9844,1.0069,Complete,2025-09-09,183720500
PRJ3-00135,0.0689,32,0,1,1,0.9355,0.9694,Complete,2026-11-29,71377500
PRJ3-00136,0.0381,32,0,1,1,0.9633,0.9738,Complete,2024-03-12,134371600
PRJ3-00137,0.0897,38,0,1,1,0.9177,0.9554,Complete,2024-08-10,86632000
PRJ3-00138,0.1683,8,1,0,1,0.856,0.9892,Complete,2023-09-01,107666400
PRJ3-00139,0.0207,-5,0,0,0,0.9797,1.0118,Complete,2023-07-29,64917700
PRJ3-00140,0.1436,2,1,0,1,0.8744,0.9979,Complete,2021-06-09,257931500
PRJ3-00141,0.1831,48,1,1,1,0.8452,0.9439,Complete,2025-12-04,41276900
PRJ3-00142,0.0357,-25,0,0,0,0.9655,1.0265,Complete,2023-08-06,170244600
PRJ3-00143,0.0669,-23,0,0,0,0.9373,1.0272,Complete,2026-12-31,116469200
PRJ3-00144,0.0827,15,0,0,0,0.9236,0.9834,Complete,2020-10-23,229415100
PRJ3-00145,-0.0065,3,0,0,0,1.0065,0.9962,Complete,2025-11-27,52985000
PRJ3-00146,0.0193,15,0,0,0,0.9811,0.977,Complete,2022-02-25,213002800
PRJ3-00147,0.056,-12,0,0,0,0.9469,1.0142,Complete,2022-01-05,28806300
PRJ3-00149,0.032,-5,0,0,0,0.969,1.0153,Complete,2023-08-27,81500700
PRJ3-00150,0.1523,31,1,1,1,0.8678,0.9777,Complete,2026-12-14,386545600
PRJ3-00151,0.1335,17,1,0,1,0.8822,0.9853,Complete,2025-07-29,587879900
PRJ3-00152,-0.0247,17,0,0,0,1.0253,0.9719,Complete,2026-03-10,46226500
PRJ3-00153,0.1338,18,1,0,1,0.882,0.9848,Complete,2020-09-05,303060000
PRJ3-00154,0.0761,26,0,0,0,0.9293,0.9497,Complete,2019-10-02,96384900
PRJ3-00155,0.1112,53,1,1,1,0.8999,0.9459,Complete,2024-05-15,46867300
PRJ3-00156,0.0306,34,0,1,1,0.9703,0.9704,Complete,2026-09-15,211094400
PRJ3-00157,0.0607,42,0,1,1,0.9428,0.9577,Complete,2026-09-09,302592400
PRJ3-00158,0.0004,-7,0,0,0,0.9996,1.015,Complete,2022-10-23,11941300
PRJ3-00159,0.0745,28,0,0,0,0.9307,0.9727,Complete,2025-09-30,389129400
PRJ3-00160,0.0506,-10,0,0,0,0.9518,1.0121,Complete,2020-01-31,219794200
PRJ3-00161,0.0359,-21,0,0,0,0.9653,1.0345,Complete,2023-02-11,132834300
PRJ3-00162,0.0627,20,0,0,0,0.941,0.9758,Complete,2024-01-28,124233400
PRJ3-00163,0.0539,-6,0,0,0,0.9489,1.006,Complete,2023-07-06,233069800
PRJ3-00164,0.1508,14,1,0,1,0.869,0.9859,Complete,2025-09-24,142661500
PRJ3-00165,0.1078,23,1,0,1,0.9027,0.9741,Complete,2026-12-19,83367500
PRJ3-00166,0.0351,-25,0,0,0,0.9661,1.0274,Complete,2026-05-13,493977400
PRJ3-00167,0.0876,-15,0,0,0,0.9195,1.0248,Complete,2022-05-04,57171700
PRJ3-00168,0.0447,-3,0,0,0,0.9572,1.0029,Complete,2023-10-05,105047200
PRJ3-00169,0.1001,57,1,1,1,0.909,0.922,Complete,2020-03-11,77175300
PRJ3-00170,0.0106,-25,0,0,0,0.9895,1.0217,Complete,2021-12-17,279464600
PRJ3-00171,0.0544,41,0,1,1,0.9484,0.9532,Complete,2023-04-27,74896000
PRJ3-00172,0.0071,-19,0,0,0,0.993,1.0203,Complete,2025-02-11,80292100
PRJ3-00173,0.1264,-25,1,0,1,0.8878,1.0302,Complete,2021-06-15,190273800
PRJ3-00174,0.0568,-13,0,0,0,0.9463,1.0196,Complete,2024-09-11,128791400
PRJ3-00175,-0.0464,-9,0,0,0,1.0487,1.0147,Complete,2023-01-26,59403800
PRJ3-00176,0.0844,20,0,0,0,0.9222,0.9823,Complete,2022-03-20,387144100
PRJ3-00177,0.0243,-5,0,0,0,0.9762,1.0065,Complete,2021-05-21,240132700
PRJ3-00178,0.0416,50,0,1,1,0.9601,0.9416,Complete,2027-01-22,253453400
PRJ3-00179,0.0263,57,0,1,1,0.9744,0.9021,Complete,2025-01-17,41943600
PRJ3-00180,0.1023,51,1,1,1,0.9072,0.9463,Complete,2026-03-26,70040700
PRJ3-00181,0.1722,22,1,0,1,0.8531,0.9692,Complete,2021-08-19,91495600
PRJ3-00182,0.0494,16,0,0,0,0.9529,0.982,Complete,2025-04-15,59364800
PRJ3-00183,0.0214,-24,0,0,0,0.9791,1.0221,Complete,2027-07-09,219486500
PRJ3-00184,0.0463,6,0,0,0,0.9558,0.9952,Complete,2026-05-16,86860400
PRJ3-00185,0.0204,-12,0,0,0,0.98,1.0227,Complete,2021-03-01,48995500
PRJ3-00186,0.1804,34,1,1,1,0.8472,0.9587,Complete,2021-03-26,208671900
PRJ3-00187,0.0372,18,0,0,0,0.9641,0.9809,Complete,2026-03-09,181761400
PRJ3-00188,0.0152,-3,0,0,0,0.985,1.0041,Complete,2025-01-15,79102500
PRJ3-00189,0.0508,1,0,0,0,0.9517,0.9984,Complete,2023-09-18,65634200
PRJ3-00190,-0.0008,-18,0,0,0,1.0008,1.0241,Complete,2025-07-01,100109300
PRJ3-00191,0.0133,59,0,1,1,0.9869,0.8547,Complete,2026-09-14,74619000
PRJ3-00192,0.1033,25,1,0,1,0.9064,0.9741,Complete,2027-07-31,139887000
PRJ3-00193,0.1487,16,1,0,1,0.8705,0.9857,Complete,2021-04-08,167251600
PRJ3-00194,0.0012,44,0,1,1,0.9988,0.9532,Complete,2022-11-03,412472400
PRJ3-00195,0.073,28,0,0,0,0.9319,0.9649,Complete,2026-02-23,76995200
PRJ3-00196,0.0407,1,0,0,0,0.9609,0.9988,Complete,2020-10-25,56533400
PRJ3-00197,0.0608,-7,0,0,0,0.9427,1.0093,Complete,2025-09-09,80763600
PRJ3-00198,0.1187,-2,1,0,1,0.8939,1.0023,Complete,2024-12-24,210640900
PRJ3-00199,0.1459,36,1,1,1,0.8727,0.9554,Complete,2023-01-20,126227000
PRJ3-00200,0.1052,43,1,1,1,0.9048,0.9321,Complete,2024-10-31,17839300
PRJ3-00201,-0.007,-24,0,0,0,1.007,1.0195,Complete,2024-08-18,64901100
PRJ3-00202,0.0776,29,0,0,0,0.928,0.973,Complete,2024-11-09,194598500
PRJ3-00203,0.104,53,1,1,1,0.9058,0.951,Complete,2026-11-07,159954000
PRJ3-00204,0.0688,-19,0,0,0,0.9356,1.0159,Complete,2020-06-27,293054100
PRJ3-00205,0.0425,5,0,0,0,0.9593,0.9957,Complete,2024-07-10,257949100
PRJ3-00206,0.0341,11,0,0,0,0.967,0.9813,Complete,2021-06-15,43878500
PRJ3-00207,0.1572,34,1,1,1,0.8642,0.97,Complete,2026-11-27,357022900
PRJ3-00208,0.1648,-25,1,0,1,0.8585,1.0208,Complete,2027-05-07,400494700
PRJ3-00209,0.0912,-24,0,0,0,0.9165,1.0395,Complete,2022-03-02,44075000
PRJ3-00210,0.0253,34,0,1,1,0.9753,0.9442,Complete,2023-02-06,58783800
PRJ3-00211,0.0038,-23,0,0,0,0.9962,1.0255,Complete,2024-09-29,382091300
PRJ3-00212,-0.0079,-5,0,0,0,1.008,1.0045,Complete,2022-04-20,209410500
PRJ3-00213,0.0296,-11,0,0,0,0.9713,1.0087,Complete,2023-08-02,154303800
PRJ3-00214,0.0956,13,0,0,0,0.9127,0.9823,Complete,2025-12-25,72084700
PRJ3-00215,0.1824,62,1,1,1,0.8457,0.9299,Complete,2025-07-10,68817400
PRJ3-00216,0.142,-25,1,0,1,0.8757,1.0474,Complete,2022-05-28,40070200
PRJ3-00217,-0.072,27,0,0,0,1.0776,0.9716,Complete,2022-05-15,104850200
PRJ3-00218,-0.0145,-5,0,0,0,1.0147,1.0062,Complete,2027-01-31,115461100
PRJ3-00219,0.0117,23,0,0,0,0.9884,0.968,Complete,2025-01-26,22892200
PRJ3-00220,0.064,12,0,0,0,0.9398,0.9891,Complete,2023-04-07,88841200
PRJ3-00221,-0.002,-6,0,0,0,1.002,1.0127,Complete,2024-03-08,28663300
PRJ3-00222,0.019,0,0,0,0,0.9814,1.0,Complete,2027-04-27,96917600
PRJ3-00223,0.0555,-1,0,0,0,0.9474,1.0014,Complete,2023-04-21,252569300
PRJ3-00224,0.0688,14,0,0,0,0.9357,0.9886,Complete,2024-05-24,148129500
PRJ3-00225,0.0528,-4,0,0,0,0.9498,1.0086,Complete,2021-04-11,300187100
PRJ3-00226,0.0165,11,0,0,0,0.9837,0.9755,Complete,2025-09-16,48070200
PRJ3-00227,0.1123,0,1,0,1,0.899,1.0,Complete,2020-09-21,128677100
PRJ3-00228,0.1677,0,1,0,1,0.8564,1.0,Complete,2026-02-04,78753900
PRJ3-00229,0.1063,-3,1,0,1,0.9039,1.0048,Complete,2021-12-22,60282900
PRJ3-00230,0.01,5,0,0,0,0.9901,0.9886,Complete,2025-11-05,68985000
PRJ3-00231,0.0406,16,0,0,0,0.961,0.9826,Complete,2022-11-17,75940200
PRJ3-00232,0.0148,10,0,0,0,0.9855,0.981,Complete,2026-02-28,25545900
PRJ3-00233,0.0694,-18,0,0,0,0.9351,1.0305,Complete,2025-06-18,24797700
PRJ3-00234,0.2134,14,1,0,1,0.8242,0.986,Complete,2026-08-04,145771100
PRJ3-00235,0.1428,53,1,1,1,0.8751,0.9149,Complete,2025-03-20,39982000
PRJ3-00236,0.0899,4,0,0,0,0.9175,0.9958,Complete,2026-11-19,364107000
PRJ3-00237,0.0828,-25,0,0,0,0.9235,1.0312,Complete,2023-04-16,207734600
PRJ3-00238,0.0791,1,0,0,0,0.9267,0.9984,Complete,2022-06-03,66855400
PRJ3-00239,0.0229,-24,0,0,0,0.9776,1.0327,Complete,2022-10-10,60226600
PRJ3-00240,0.0689,-17,0,0,0,0.9355,1.0208,Complete,2020-07-13,499529100
PRJ3-00241,0.0294,29,0,0,0,0.9714,0.9607,Complete,2020-11-30,40539300
PRJ3-00242,0.0611,14,0,0,0,0.9424,0.9719,Complete,2023-04-14,52623300
PRJ3-00243,0.1613,49,1,1,1,0.8611,0.9539,Complete,2020-11-28,258633800
PRJ3-00244,0.0748,-6,0,0,0,0.9304,1.0064,Complete,2026-03-07,60889500
PRJ3-00245,0.0273,-7,0,0,0,0.9735,1.0085,Complete,2026-03-03,51447500
PRJ3-00246,0.1395,22,1,0,1,0.8776,0.9818,Complete,2021-02-18,173845400
PRJ3-00247,0.0428,11,0,0,0,0.9589,0.9797,Complete,2021-05-20,52596300
PRJ3-00248,0.1545,43,1,1,1,0.8662,0.9173,Complete,2026-10-09,55417400
PRJ3-00249,0.0466,-25,0,0,0,0.9555,1.043,Complete,2023-06-23,84879300
PRJ3-00250,0.0301,28,0,0,0,0.9708,0.9701,Complete,2023-07-03,55033900
PRJ3-00251,0.1854,27,1,0,1,0.8436,0.9798,Complete,2028-02-28,153565300
PRJ3-00252,0.1585,24,1,0,1,0.8632,0.9783,Complete,2026-07-12,122448000
PRJ3-00253,0.1318,-25,1,0,1,0.8835,1.0358,Complete,2021-12-31,72089400
PRJ3-00254,0.0755,20,0,0,0,0.9298,0.9713,Complete,2022-06-18,98041100
PRJ3-00255,0.1255,-10,1,0,1,0.8885,1.0127,Complete,2022-11-29,103263700
PRJ3-00256,0.044,-13,0,0,0,0.9579,1.0188,Complete,2020-10-08,95549500
PRJ3-00257,0.0529,32,0,1,1,0.9498,0.959,Complete,2024-07-21,301586200
PRJ3-00258,0.1108,-25,1,0,1,0.9002,1.0243,Complete,2024-01-06,220352400
PRJ3-00259,0.0751,-1,0,0,0,0.9302,1.0018,Complete,2023-02-06,160613000
PRJ3-00260,0.1415,52,1,1,1,0.8761,0.9582,Complete,2027-10-17,192837400
PRJ3-00261,0.1473,-15,1,0,1,0.8716,1.023,Complete,2023-09-06,47109800
PRJ3-00262,0.0267,30,0,1,1,0.974,0.9725,Complete,2023-09-04,60254500
PRJ3-00263,0.1792,-6,1,0,1,0.848,1.0109,Complete,2023-04-16,148057100
PRJ3-00264,0.1489,62,1,1,1,0.8704,0.9509,Complete,2023-08-24,226913600
PRJ3-00265,0.0268,-18,0,0,0,0.9739,1.0336,Complete,2023-04-26,34392800
PRJ3-00266,0.0534,20,0,0,0,0.9493,0.9811,Complete,2023-04-12,239386400
PRJ3-00267,0.0473,-17,0,0,0,0.9548,1.0292,Complete,2022-02-07,38230700
PRJ3-00268,0.0682,17,0,0,0,0.9362,0.9702,Complete,2025-10-11,154891900
PRJ3-00269,0.0436,10,0,0,0,0.9583,0.9904,Complete,2023-01-31,114376200
PRJ3-00270,0.0366,48,0,1,1,0.9647,0.9592,Complete,2022-02-13,383701700
PRJ3-00271,0.0676,24,0,0,0,0.9367,0.9527,Complete,2023-01-21,93129400
PRJ3-00272,0.0802,-25,0,0,0,0.9258,1.0252,Complete,2025-02-01,116153800
PRJ3-00273,0.0872,20,0,0,0,0.9198,0.9754,Complete,2026-06-09,69406000
PRJ3-00274,0.0495,24,0,0,0,0.9529,0.9773,Complete,2023-07-09,83061200
PRJ3-00275,0.0294,-17,0,0,0,0.9714,1.0431,Complete,2023-11-22,104872200
PRJ3-00276,0.0632,-8,0,0,0,0.9405,1.0097,Complete,2026-07-19,81249700
PRJ3-00277,0.0923,17,0,0,0,0.9155,0.9771,Complete,2026-11-15,129375500
PRJ3-00278,0.0835,11,0,0,0,0.9229,0.9865,Complete,2026-11-11,92098700
PRJ3-00279,-0.0318,-1,0,0,0,1.0328,1.002,Complete,2025-06-04,40820600
PRJ3-00280,0.1277,76,1,1,1,0.8868,0.9104,Complete,2026-03-16,184625400
PRJ3-00281,0.0842,-20,0,0,0,0.9224,1.0301,Complete,2025-04-01,41779500
PRJ3-00282,0.063,-3,0,0,0,0.9407,1.0047,Complete,2025-09-18,95699200
PRJ3-00283,0.071,-2,0,0,0,0.9337,1.0037,Complete,2025-12-06,19909400
PRJ3-00284,0.1598,42,1,1,1,0.8622,0.93,Complete,2022-10-17,87256500
PRJ3-00285,-0.0178,-18,0,0,0,1.0181,1.0259,Complete,2023-11-17,117649500
PRJ3-00286,0.0912,-5,0,0,0,0.9164,1.0056,Complete,2024-04-08,201766300
PRJ3-00287,0.035,50,0,1,1,0.9661,0.9293,Complete,2026-11-12,90261700
PRJ3-00288,0.1474,17,1,0,1,0.8716,0.9805,Complete,2026-11-08,554547900
PRJ3-00289,-0.0116,1,0,0,0,1.0118,0.9981,Complete,2020-03-07,29220700
PRJ3-00290,0.0579,31,0,1,1,0.9453,0.9574,Complete,2023-08-31,54633500
PRJ3-00291,0.0711,22,0,0,0,0.9336,0.9801,Complete,2025-10-19,141989900
PRJ3-00292,0.0291,3,0,0,0,0.9718,0.9964,Complete,2025-04-19,87141200
PRJ3-00293,0.0058,6,0,0,0,0.9942,0.9937,Complete,2021-07-05,783491800
PRJ3-00294,0.0643,5,0,0,0,0.9396,0.9925,Complete,2024-05-30,43999300
