Project_ID,Project_Name,Project_Type,Region,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,CPI_Snapshot,SPI_Snapshot,Pending_Change_Exposure_Pct_Budget,Avg_RFI_Response_Days,Overdue_RFI_Rate,Change_Approval_Cycle_Days,Contingency_Utilization_Pct,Workflow_Risk_Score_Snapshot,Cost_Overrun_Flag,Schedule_Delay_Flag,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Predicted_Cost_Overrun_Probability,Predicted_Schedule_Delay_Probability,Overall_Overrun_Probability,Predicted_Final_Cost_Overrun_Pct,Predicted_Final_Schedule_Delay_Days,Risk_Band,Primary_Risk_Drivers
PRJ3-01418,Gateway Bridge Program 1418,Heavy Civil,West,Design-Bid-Build,Very High,Moderate,Slow,121669100,0.8806,0.8453,0.0452,12.729,0.4612,45.566,0.3798,7,1,1,0.1585,70,0.9399010320458105,0.974275627409519,0.9984539917560431,0.1495108622983181,53.74565737298881,Red,Slow change approval; Workflow risk score; Overdue RFI backlog
PRJ3-01155,Copper Education Center 1155,Institutional,Northeast,CMAR,High,Low,Slow,217259300,0.8989,0.8398,0.0392,14.055,0.4076,33.6,0.3625,6,1,1,0.1412,42,0.6995501097522088,0.9342149703743526,0.9802348950690265,0.09869258019163733,38.43785749274274,Red,Slow RFI response; Slow change approval; Workflow risk score
PRJ3-01906,Liberty Education Center 1906,Institutional,Southeast,IPD,Very High,Low,Fast,169010600,0.9115,0.8294,0.015,13.616,0.4953,28.61,0.2798,4,1,1,0.142,38,0.5100779097786279,0.9497750771802724,0.975393700830952,0.09595144785632388,34.273206941740845,Red,Overdue RFI backlog; Slow RFI response; Slow change approval
PRJ3-00192,Cedar Research Facility 192,Institutional,Midwest,Design-Bid-Build,High,Moderate,Slow,126790500,0.8709,0.8478,0.0323,11.952,0.4965,28.54,0.3231,6,1,0,0.1033,25,0.8460612027945218,0.8281913133109264,0.9735519774216311,0.128977175096937,31.34838720685878,Red,Overdue RFI backlog; Workflow risk score; Slow change approval
PRJ3-02161,Gateway Utility Corridor 2161,Infrastructure,West,CMAR,Very High,High,Slow,169433500,0.899,0.8427,0.0425,12.164,0.4661,26.832,0.3696,5,1,1,0.1264,36,0.8410752681621066,0.8207590009973642,0.97151417229915,0.1316884623655304,31.275033373750382,Red,Overdue RFI backlog; Slow RFI response; Low SPI
PRJ3-00084,Gateway Earthworks Package 84,Heavy Civil,Midwest,CMAR,High,Low,Standard,96284900,0.9282,0.877,0.0159,11.789,0.4712,18.082,0.2993,4,1,1,0.1555,85,0.5809410964515245,0.9295725547936741,0.9704867520321168,0.09583414852645455,38.826288982363394,Red,Overdue RFI backlog; Low SPI; Low CPI
PRJ3-01281,Evergreen District 1281,Mixed-Use,West,Design-Bid-Build,High,Moderate,Standard,231193500,0.8482,0.8756,0.0572,11.518,0.4505,21.659,0.505,6,1,0,0.1478,15,0.8704124174249152,0.7486097435814238,0.967422944387786,0.1560626217311778,31.475939815318405,Red,Overdue RFI backlog; Workflow risk score; Low CPI
PRJ3-01248,Evergreen Residences 1248,Residential,Mountain,Design-Bid-Build,High,Moderate,Slow,29916700,0.889,0.8132,0.039,7.49,0.3548,26.213,0.3894,4,1,0,0.1835,18,0.8176519230112734,0.8124278956584001,0.9657965874765805,0.12722245136866137,29.595710790345123,Red,Overdue RFI backlog; Low SPI; Low CPI
PRJ3-00260,Riverside Bridge Program 260,Heavy Civil,Mountain,CMAR,High,Low,Slow,168937400,0.8955,0.8653,0.0215,9.593,0.3048,19.307,0.3874,3,1,1,0.1415,52,0.8081018570237497,0.8140603771057844,0.9643185316608958,0.10236763359856829,35.59591793490644,Red,Overdue RFI backlog; Low SPI; Low CPI
PRJ3-00404,Cedar Logistics Center 404,Industrial,West,CMAR,High,High,Slow,121734100,0.8649,0.9689,0.0459,12.763,0.5245,38.439,0.5206,6,1,0,0.1819,8,0.8833368170276948,0.6941388640514481,0.964317266332717,0.13715639206179156,37.34370643999396,Red,Overdue RFI backlog; Slow change approval; Workflow risk score
PRJ3-02204,Mesa Civic Complex 2204,Institutional,Mountain,Design-Bid-Build,Very High,Moderate,Slow,192282000,0.8025,0.8864,0.0598,9.497,0.2624,38.877,0.2444,6,1,0,0.1894,18,0.8510433600784493,0.7572113194183212,0.9638350139295665,0.20781796435597827,34.607908496596416,Red,Slow change approval; Workflow risk score; Overdue RFI backlog
PRJ3-00641,Canyon Retail Center 641,Commercial,Southwest,Design-Bid-Build,High,Moderate,Slow,32840600,0.8747,0.9503,0.0378,10.978,0.409,25.319,0.5888,5,1,0,0.1366,3,0.9083213182467744,0.5992069165583309,0.9632558184542572,0.14586222766573106,25.66911660437894,Red,Overdue RFI backlog; Low CPI; Pending change exposure
PRJ3-01519,Granite Utility Corridor 1519,Infrastructure,Southeast,Design-Build,Very High,Moderate,Standard,178719500,0.9574,0.8654,0.0231,13.479,0.458,38.889,0.428,6,0,1,0.0485,63,0.4710192440936519,0.928972846407721,0.96242800260288,0.0710323502670414,41.87718976570914,Red,Slow change approval; Overdue RFI backlog; Slow RFI response
PRJ3-01875,Canyon Housing 1875,Residential,Mountain,Design-Build,Moderate,Low,Slow,37263700,0.8269,1.0306,0.0347,9.708,0.364,47.723,0.2296,5,1,0,0.1521,16,0.6826212663158453,0.8757731622805178,0.9605730435550037,0.15714571739374628,31.41891715100074,Red,Slow change approval; Overdue RFI backlog; Low CPI
PRJ3-01379,Summit Apartments 1379,Residential,Mountain,CMAR,Very High,Low,Standard,64472600,0.8916,0.8618,0.0293,9.519,0.3784,19.78,0.1912,3,1,0,0.1291,-14,0.7101171011123641,0.8602208396468023,0.9594804117927354,0.11456363301936866,28.030728277753767,Red,Overdue RFI backlog; Low SPI; Low CPI
PRJ3-02104,Summit Transit Program 2104,Infrastructure,Midwest,Design-Bid-Build,Moderate,Low,Standard,208609300,0.8056,0.9026,0.0455,6.93,0.2714,22.484,0.2764,3,1,1,0.1562,47,0.7257952926277584,0.8521933486656864,0.9594707204232036,0.17584703380845787,27.23284690585401,Red,Overdue RFI backlog; Low CPI; Low SPI
PRJ3-02151,Crescent Town Center 2151,Mixed-Use,Mountain,IPD,High,Low,Standard,41932800,0.8508,0.9336,0.0113,8.408,0.2468,36.289,0.5427,4,1,0,0.1564,1,0.6896826998400225,0.8620544894341754,0.9571931215920236,0.1373201519372729,34.04616444115469,Red,Slow change approval; Low CPI; Low SPI
PRJ3-01769,Summit Town Center 1769,Mixed-Use,Mountain,CMAR,Very High,Low,Standard,140362700,0.8679,0.8877,0.0301,6.891,0.2259,21.312,0.3402,3,1,0,0.1044,4,0.7359327170359812,0.8355878250429265,0.9565841236728807,0.13221481657196177,27.13611585735729,Red,Low CPI; Low SPI; Pending change exposure
PRJ3-01363,Redwood Utility Corridor 1363,Infrastructure,Midwest,Design-Build,Moderate,Low,Slow,194036900,0.9305,0.9293,0.0469,15.747,0.4956,41.449,0.4246,7,1,1,0.1485,60,0.7143264230743493,0.8471967690773187,0.9563481544565214,0.11722904684688482,35.098713935387444,Red,Slow change approval; Slow RFI response; Workflow risk score
PRJ3-00929,Liberty District 929,Mixed-Use,Northeast,Design-Bid-Build,High,Low,Slow,155594300,0.8568,0.855,0.0407,11.685,0.3737,20.526,0.4254,5,1,1,0.1833,72,0.8605703572699055,0.6846367998757572,0.9560290216764575,0.14349896802087578,30.71207716797349,Red,Overdue RFI backlog; Low SPI; Low CPI
