Project_ID,Project_Name,Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Start_Date,Snapshot_Date,Snapshot_Year,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot,Final_Cost_Overrun_Pct,Final_Schedule_Delay_Days,Cost_Overrun_Flag,Schedule_Delay_Flag,Combined_Overrun_Flag,Final_CPI,Final_SPI,Final_Status,Actual_End_Date,Final_EAC,Data_Split
PRJ3-00025,Harbor Civic Complex 25,Institutional,Southeast,VA,Private,Guaranteed Maximum Price,CMAR,High,High,Standard,2025-01-23,2025-11-16,2025,113971800,825,0.361,0.3745,0.9389,1.0085,0.0116,-11,0.8955,21,12,0.377,0.9515,68,5.966,9.943,0.1762,0.3809,0.0645,0.0991,0.0315,0.2548,0.0435,0.019,15.262,0.3269,1.892,0.2854,0.1948,0.3438,3,0.0792,-10,0,0,0,0.9266,1.0123,Complete,2027-04-18,123001400,Test
PRJ3-00026,Crescent Earthworks Package 26,Heavy Civil,Northeast,MA,Public,Guaranteed Maximum Price,Design-Build,Low,High,Slow,2021-12-20,2023-10-11,2023,89824400,1157,0.571,0.5474,1.031,0.9343,-0.0085,27,1.075,28,25,0.086,0.9559,29,3.229,9.215,0.3038,0.3744,0.0978,0.0699,0.031,0.0809,0.0129,0.0009,26.654,0.3932,6.801,0.135,0.212,0.2488,3,0.0945,17,0,0,0,0.9137,0.9855,Complete,2025-03-08,98312400,Train
PRJ3-00027,Horizon Distribution Hub 27,Industrial,West,WA,Public,Lump Sum,Design-Build,High,Low,Slow,2019-09-23,2020-08-04,2020,163339300,869,0.364,0.3019,0.8835,0.9193,0.0506,54,0.8858,10,8,0.826,0.9582,100,6.122,14.769,0.08,0.4376,0.0794,0.1892,0.0456,0.2017,0.0358,0.0551,29.534,0.3635,5.445,0.3488,0.2879,0.3477,6,0.1259,29,1,0,1,0.8882,0.9677,Complete,2022-03-09,183905500,Train
PRJ3-00028,Canyon Neighborhood 28,Residential,West,NV,Public,Lump Sum,Design-Build,High,Moderate,Fast,2020-10-06,2021-06-25,2021,43396500,553,0.475,0.4915,1.0522,1.027,-0.0316,-9,1.0023,17,0,0.718,0.9751,34,7.835,9.681,0.1824,0.3163,0.0727,0.1117,0.0397,0.232,0.0308,0.0195,14.103,0.1176,2.942,0.1736,0.1224,0.3989,2,0.0425,-16,0,0,0,0.9593,1.0298,Complete,2022-03-27,45239500,Train
PRJ3-00029,Crescent Earthworks Package 29,Heavy Civil,Midwest,IL,Private,Unit Price,Design-Bid-Build,High,High,Slow,2022-05-01,2024-02-06,2024,186143700,1244,0.52,0.4598,0.9393,0.8835,0.0326,75,1.0187,17,9,0.803,0.9543,103,5.533,8.95,0.2263,0.3893,0.0886,0.0872,0.0278,0.2457,0.0554,0.0396,26.003,0.3186,6.378,0.4859,0.179,0.2933,4,0.1086,-10,1,0,1,0.9021,1.0081,Complete,2025-09-16,206353400,Validation
PRJ3-00030,Mesa Apartments 30,Residential,Midwest,MO,Private,Guaranteed Maximum Price,IPD,Moderate,Low,Standard,2024-09-01,2025-03-24,2025,92534900,534,0.383,0.3819,1.0305,0.9808,-0.0007,1,1.0443,19,8,0.456,0.9465,58,6.268,8.631,0.3433,0.4184,0.1004,0.2428,0.0464,0.1257,0.0149,0.0059,30.172,0.2649,7.212,0.2524,0.3349,0.2896,4,0.05,31,0,1,1,0.9524,0.9451,Complete,2026-03-20,97159400,Test
PRJ3-00031,Horizon Housing 31,Residential,West,CA,Private,Guaranteed Maximum Price,Design-Bid-Build,High,Moderate,Slow,2021-03-17,2021-09-19,2021,84284900,417,0.448,0.4049,0.9805,0.8985,0.0077,18,0.9083,7,4,0.758,0.9622,53,6.288,11.189,0.08,0.4234,0.1025,0.1413,0.0621,0.2239,0.0622,0,24.318,0.3518,2.5,0.3957,0.2792,0.4109,3,0.0626,20,0,0,0,0.9411,0.9542,Complete,2022-05-28,89564400,Train
PRJ3-00032,Gateway Distribution Hub 32,Industrial,Mountain,ID,Public,Lump Sum,Design-Bid-Build,Very High,High,Fast,2023-02-24,2024-03-25,2024,580334300,867,0.456,0.4318,0.9021,0.9406,0.0504,21,0.9563,10,22,1.083,0.9732,240,4.136,4.477,0.4052,0.1187,0.0596,0.135,0.0657,0.355,0.0636,0.0387,28.011,0.2988,7.396,0.4899,0.3079,0.2928,4,0.118,11,1,0,1,0.8945,0.9875,Complete,2025-07-21,648788200,Validation
PRJ3-00033,Evergreen Residences 33,Residential,Northeast,PA,Private,Lump Sum,Design-Build,Low,Low,Fast,2024-08-15,2025-04-19,2025,53542600,629,0.394,0.4185,0.9314,1.002,0.0175,-15,1.0222,0,17,0.609,0.9679,23,4.296,5.035,0.3801,0.1933,0.0239,0.0189,0.0001,0.0475,0.0184,0.0096,21.774,0.3539,2.869,0.3611,0.2018,0.3613,2,0.0447,7,0,0,0,0.9572,0.989,Complete,2026-05-13,55935800,Test
PRJ3-00034,Horizon Neighborhood 34,Residential,Southeast,TN,Private,Guaranteed Maximum Price,Design-Bid-Build,Very High,Low,Slow,2024-10-10,2025-08-16,2025,128946600,871,0.356,0.3425,0.9118,0.9217,0.0267,12,0.9685,38,27,0.918,0.9482,106,8.22,14.914,0.08,0.595,0.1517,0.2155,0.0654,0.2764,0.0454,0.0628,35.6,0.4854,10.258,0.5282,0.3532,0.3101,8,0.1508,58,1,1,1,0.8689,0.9376,Complete,2027-04-27,148396500,Test
PRJ3-00035,Mesa Neighborhood 35,Residential,Southwest,NM,Private,Lump Sum,CMAR,Very High,High,Standard,2019-03-12,2019-11-27,2019,31174100,636,0.409,0.4341,1.0162,0.9807,-0.0148,-16,0.904,19,20,0.807,0.9817,31,9.944,9.978,0.1599,0.3597,0.1197,0.0674,0.034,0.2841,0.0367,0.0156,20.37,0.2855,6.59,0.309,0.1578,0.3765,3,0.032,22,0,0,0,0.969,0.9666,Complete,2020-12-29,32172000,Train
PRJ3-00036,Liberty Distribution Hub 36,Industrial,Southeast,VA,Private,Lump Sum,Design-Build,Moderate,High,Standard,2020-09-21,2021-10-05,2021,78968800,932,0.407,0.414,0.9144,1.031,0.0448,-7,0.9926,0,10,0.975,0.9676,28,3.546,10.202,0.2833,0.3618,0.0877,0.065,0.026,0.0588,0.0229,0.0092,18.989,0.2543,2.303,0.2506,0.1721,0.4082,2,0.0964,10,0,0,0,0.9121,0.9894,Complete,2023-04-21,86582100,Train
PRJ3-00037,Lakeview Apartments 37,Residential,Southeast,TN,Private,Lump Sum,IPD,Moderate,High,Slow,2023-11-15,2024-06-09,2024,31053000,540,0.384,0.4476,0.9401,1.1103,0.0293,-34,1.0238,0,5,0.401,0.9474,8,2.576,7.203,0.3594,0.3349,0.118,0.0485,0.0121,0.0998,0.0395,0,22.529,0.261,0,0.3574,0.1606,0.3069,1,0.0607,23,0,0,0,0.9428,0.9591,Complete,2025-05-31,32936500,Validation
PRJ3-00038,Northstar Civic Complex 38,Institutional,Southeast,GA,Public,Unit Price,Design-Bid-Build,Low,High,Standard,2018-04-07,2019-02-25,2019,143930500,735,0.441,0.4258,0.9739,0.9512,0.0139,11,1.0659,2,9,0.362,0.9711,47,3.265,4.592,0.5352,0.1759,0.0427,0.1192,0.0607,0.0532,0.041,0,13.121,0.1624,4.411,0.175,0.1687,0.1683,1,-0.0475,-25,0,0,0,1.0499,1.0352,Complete,2020-03-17,137091200,Train
PRJ3-00039,Pioneer Distribution Hub 39,Industrial,Mountain,UT,Private,Unit Price,Design-Bid-Build,High,Moderate,Slow,2021-10-16,2022-08-17,2022,130350200,854,0.358,0.3083,0.7668,0.8115,0.0832,42,0.8654,21,4,0.907,0.9574,80,6.137,10.955,0.1921,0.3719,0.1014,0.0937,0.0492,0.2888,0.0547,0.0464,25.947,0.271,4.36,0.4017,0.2238,0.3635,5,0.2498,34,1,1,1,0.8001,0.9617,Complete,2024-03-22,162909100,Train
PRJ3-00040,Granite Bridge Program 40,Heavy Civil,Southwest,NM,Private,Cost Plus,Design-Build,Moderate,Moderate,Slow,2024-07-13,2025-05-19,2025,382453500,784,0.396,0.3773,0.8807,0.9496,0.034,15,0.9976,20,1,0.491,0.9316,193,5.046,8.468,0.2317,0.3138,0.1033,0.0709,0.0056,0.0362,0.029,0.0347,33.058,0.496,10.216,0.4662,0.2207,0.4041,5,0.1687,23,1,0,1,0.8556,0.9715,Complete,2026-09-28,446983900,Test
PRJ3-00041,Copper Retail Center 41,Commercial,West,WA,Private,Lump Sum,Design-Bid-Build,Low,High,Standard,2022-05-04,2023-01-10,2023,102123600,597,0.422,0.42,0.9841,0.9663,0.0071,1,1.0359,4,14,0.471,0.9767,32,3.133,5.944,0.4686,0.2758,0.0583,0.0118,0.0224,0.0482,0,0.0075,5,0.0523,2.838,0.1194,0.0002,0.3452,1,0.0106,-25,0,0,0,0.9895,1.0437,Complete,2023-11-27,103210500,Train
PRJ3-00042,Lakeview Earthworks Package 42,Heavy Civil,West,CA,Public,Guaranteed Maximum Price,CMAR,Moderate,High,Slow,2020-04-05,2021-06-26,2021,122393400,963,0.465,0.4165,1.014,0.9127,0.0185,47,0.9538,11,12,0.949,0.9473,64,5.229,6.011,0.4321,0.2258,0.0521,0.0813,0.0075,0.0539,0.0375,0.0414,15.74,0.3695,9.826,0.1458,0.136,0.3097,4,0.0414,15,0,0,0,0.9602,0.9847,Complete,2022-12-09,127465100,Train
PRJ3-00043,Granite Neighborhood 43,Residential,West,OR,Private,Cost Plus,Design-Bid-Build,Moderate,Moderate,Fast,2024-05-01,2025-05-28,2025,32850400,822,0.477,0.466,1.0006,0.9823,-0.0173,9,0.9274,5,12,0.61,0.9764,22,6.697,2,0.6488,0.1384,0.0806,0.0853,0.0707,0.0997,0.0094,0,9.21,0.2057,0.546,0.2476,0.1053,0.3126,1,0.0441,-10,0,0,0,0.9578,1.0123,Complete,2026-07-22,34299500,Test
PRJ3-00044,Granite Neighborhood 44,Residential,Mountain,ID,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,2024-07-12,2025-03-26,2025,50073000,621,0.414,0.4343,1.0437,1.0067,-0.0274,-13,1.034,0,0,0.712,0.9855,28,5.592,7.107,0.2686,0.2531,0.1013,0.1448,0.0675,0.1098,0.0452,0.0196,15.291,0.3406,5.451,0.219,0.2104,0.2516,2,0.0409,-25,0,0,0,0.9607,1.0419,Complete,2026-02-28,52119100,Test
PRJ3-00045,Northstar Corporate Center 45,Commercial,West,OR,Public,Lump Sum,CMAR,Moderate,High,Fast,2021-10-08,2022-08-16,2022,46169500,555,0.563,0.5606,1.0749,0.9773,-0.0388,1,1.0281,0,12,0.436,0.999,23,4.982,2.332,0.4975,0.0879,0.0176,0.1535,0.0591,0.0732,0.0118,0.0019,18.666,0.1996,1.802,0.0981,0.2081,0.2936,1,-0.0022,19,0,0,0,1.0023,0.9669,Complete,2023-05-05,46065800,Train
PRJ3-00046,Lakeview Utility Corridor 46,Infrastructure,Mountain,CO,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Fast,2021-06-24,2023-08-19,2023,187488400,1335,0.589,0.6162,1.0362,0.999,-0.0172,-36,1.0579,16,15,0.771,0.9762,85,4.534,2,0.6265,0.084,0.0444,0.0929,0.0237,0.1152,0.0172,0.0041,14.825,0.2014,0,0.234,0.1717,0.2714,1,-0.0143,34,0,1,1,1.0145,0.9752,Complete,2025-03-24,184803400,Train
PRJ3-00047,Cedar Research Facility 47,Institutional,Southeast,TN,Public,Guaranteed Maximum Price,Design-Bid-Build,Low,Moderate,Fast,2019-01-22,2020-06-17,2020,134034300,875,0.586,0.5039,0.9931,0.8896,0.0037,72,0.9883,10,20,0.662,0.9743,65,4.85,4.712,0.6382,0.1625,0.0287,0.1053,0.021,0.1209,0.0242,0.0059,20.339,0.2465,0,0.2858,0.2361,0.2664,1,-0.0438,-13,0,0,0,1.0458,1.0151,Complete,2021-06-02,128167400,Train
PRJ3-00048,Northstar Distribution Hub 48,Industrial,Southeast,GA,Public-Private Partnership,Unit Price,Design-Bid-Build,High,High,Fast,2017-12-05,2019-01-10,2019,90239800,942,0.426,0.4244,0.9386,1.0149,0.0287,2,1.0748,12,13,0.277,0.9534,44,4.876,7.017,0.3505,0.2844,0.0489,0.1201,0.051,0.1795,0.0433,0,5,0.1334,11.388,0.197,0.0883,0.4739,2,0.0849,-1,0,0,0,0.9218,1.0011,Complete,2020-07-03,97897600,Train
PRJ3-00049,Evergreen Apartments 49,Residential,Midwest,OH,Public-Private Partnership,Guaranteed Maximum Price,IPD,Moderate,Moderate,Standard,2021-11-19,2022-07-28,2022,16846000,498,0.506,0.4492,1.0503,0.9832,-0.0053,28,0.942,0,19,0.676,0.9791,6,3.562,6.619,0.4111,0.3133,0.0758,0.0706,0.0399,0.0753,0.0472,0.0137,21.907,0.2218,1.872,0.1798,0.2385,0.3406,2,0.036,-15,0,0,0,0.9653,1.0311,Complete,2023-03-17,17452000,Train
PRJ3-00050,Gateway Earthworks Package 50,Heavy Civil,Midwest,MI,Private,Lump Sum,Design-Bid-Build,Moderate,Low,Standard,2020-05-08,2021-08-08,2021,172363300,1253,0.365,0.2937,0.8959,0.8819,0.0351,89,0.8699,39,9,0.597,0.9409,91,5.28,9.0,0.2366,0.3584,0.0969,0.1414,0.0612,0.078,0.0223,0.0304,13.245,0.0939,3.698,0.4255,0.1224,0.2806,3,0.0647,13,0,0,0,0.9392,0.9897,Complete,2023-10-26,183518900,Train
PRJ3-00051,Cedar Town Center 51,Mixed-Use,Southwest,NM,Public,Cost Plus,Design-Build,Moderate,Moderate,Standard,2022-02-12,2023-08-26,2023,107373300,950,0.59,0.5527,0.994,0.9963,-0.0141,35,1.0757,0,10,0.885,0.9613,56,5.215,7.875,0.2333,0.3013,0.0509,0.105,0.056,0.1487,0.0113,0.0332,21.457,0.3846,7.725,0.2251,0.152,0.1587,3,0.0217,1,0,0,0,0.9788,0.9989,Complete,2024-09-20,109704300,Train
